classifier,Score,C-value,Execution Time
Linear SVM,0.24909698,0.57,0.203122377
Linear SVM,0.248227431,0.58,0.215842915
Linear SVM,0.249951786,0.59,0.212140608
Linear SVM,0.247796613,0.6,0.212499332
Linear SVM,0.249378306,0.61,0.218897414
Linear SVM,0.251234736,0.62,0.207232761
Linear SVM,0.250686813,0.63,0.209638143
Linear SVM,0.24857523,0.64,0.215596533
Linear SVM,0.24857523,0.65,0.208189821
Linear SVM,0.25017094,0.66,0.214380145
Linear SVM,0.25017094,0.67,0.208245993
Linear SVM,0.251214461,0.68,0.206248474
Linear SVM,0.250925352,0.69,0.217998862
Linear SVM,0.250065345,0.7,0.203123665
Linear SVM,0.24978109,0.71,0.203123426
Linear SVM,0.249811384,0.72,0.231249642
Linear SVM,0.251668247,0.73,0.220443225
Linear SVM,0.251706433,0.74,0.231490254
Linear SVM,0.251997579,0.75,0.234374523
Linear SVM,0.253648789,0.76,0.225000477
Linear SVM,0.255175439,0.77,0.223505187
Linear SVM,0.253275594,0.78,0.227833223
Linear SVM,0.253026064,0.79,0.215624475
Linear SVM,0.25492111,0.8,0.214422584
Linear SVM,0.254458552,0.81,0.215620422
Linear SVM,0.255501439,0.82,0.224997592
Linear SVM,0.255501439,0.83,0.249999022
Linear SVM,0.256609797,0.84,0.231367111
Linear SVM,0.254802827,0.85,0.249998784
Linear SVM,0.254802827,0.86,0.223437047
Linear SVM,0.254802827,0.87,0.21760838
Linear SVM,0.254802827,0.88,0.242187977
Linear SVM,0.254802827,0.89,0.222291398
Linear SVM,0.254802827,0.9,0.220617461
Linear SVM,0.254802827,0.91,0.227433562
Linear SVM,0.254547914,0.92,0.226817417
Linear SVM,0.257989661,0.93,0.220312047
Linear SVM,0.259581928,0.94,0.217186785
Linear SVM,0.261088011,0.95,0.237549138
Linear SVM,0.26287371,0.96,0.241936922
Linear SVM,0.262614019,0.97,0.225004053
Linear SVM,0.264392324,0.98,0.250078034
Linear SVM,0.263544637,0.99,0.256250072
Linear SVM,0.263544637,1,0.248980784
RBF SVM,0.0,0.01,0.1413036346435547
RBF SVM,0.0,0.02,0.15468649864196776
RBF SVM,0.0,0.03,0.14411091804504395
RBF SVM,0.0,0.04,0.14444615840911865
RBF SVM,0.0,0.05,0.1388230800628662
RBF SVM,0.0,0.06,0.14687504768371581
RBF SVM,0.0,0.07,0.15555291175842284
RBF SVM,0.0,0.08,0.1519563913345337
RBF SVM,0.0,0.09,0.15312466621398926
RBF SVM,0.0,0.1,0.176414155960083
RBF SVM,0.0,0.11,0.16763265132904054
RBF SVM,0.0,0.12,0.16190731525421143
RBF SVM,0.0,0.13,0.16267774105072022
RBF SVM,0.0,0.14,0.17225518226623535
RBF SVM,0.0,0.15,0.18128926753997804
RBF SVM,0.0,0.16,0.18308606147766113
RBF SVM,0.0,0.17,0.18437464237213136
RBF SVM,0.0,0.18,0.1858736753463745
RBF SVM,0.0,0.19,0.18065383434295654
RBF SVM,0.0,0.2,0.1812490463256836
RBF SVM,0.0,0.21,0.18069825172424317
RBF SVM,0.0,0.22,0.19017271995544432
RBF SVM,0.0,0.23,0.18145596981048584
RBF SVM,0.0,0.24,0.20586662292480468
RBF SVM,0.0,0.25,0.19249505996704103
RBF SVM,0.0,0.26,0.19687433242797853
RBF SVM,0.0,0.27,0.19336705207824706
RBF SVM,0.0,0.28,0.1974400043487549
RBF SVM,0.0,0.29,0.18956568241119384
RBF SVM,0.0,0.3,0.19489924907684325
RBF SVM,0.0,0.31,0.20031337738037108
RBF SVM,0.0,0.32,0.21003761291503906
RBF SVM,0.0,0.33,0.20883545875549317
RBF SVM,0.0,0.34,0.2036412239074707
RBF SVM,0.0,0.35,0.21068496704101564
RBF SVM,0.0,0.36,0.201997709274292
RBF SVM,0.0,0.37,0.2068385124206543
RBF SVM,0.0,0.38,0.22561242580413818
RBF SVM,0.0,0.39,0.217187237739563
RBF SVM,0.0,0.4,0.2175445795059204
RBF SVM,0.0,0.41,0.20781168937683106
RBF SVM,0.0,0.42,0.20454933643341064
RBF SVM,0.0,0.43,0.21341416835784913
RBF SVM,0.0,0.44,0.21464760303497316
RBF SVM,0.0,0.45,0.22584376335144044
RBF SVM,0.0,0.46,0.22424640655517578
RBF SVM,0.0,0.47,0.2209016799926758
RBF SVM,0.0,0.48,0.20950021743774414
RBF SVM,0.0,0.49,0.23099663257598876
RBF SVM,0.0,0.5,0.21873204708099364
RBF SVM,0.0,0.51,0.22751154899597167
RBF SVM,0.0,0.52,0.21947915554046632
RBF SVM,0.0,0.53,0.2485499382019043
RBF SVM,0.0,0.54,0.24144332408905028
RBF SVM,0.0,0.55,0.22360992431640625
RBF SVM,0.0,0.56,0.2301668643951416
RBF SVM,0.0,0.57,0.22392768859863282
RBF SVM,0.0,0.58,0.24912209510803224
RBF SVM,0.0,0.59,0.2173252820968628
RBF SVM,0.0,0.6,0.22413897514343262
RBF SVM,0.0,0.61,0.21147284507751465
RBF SVM,0.0,0.62,0.21430907249450684
RBF SVM,0.0,0.63,0.21654658317565917
RBF SVM,0.0,0.64,0.2105034351348877
RBF SVM,0.0,0.65,0.22812509536743164
