Classifier,Score,Alpha,Execution Time
Bernoulli NB,0.765593035,0.59,0.018299365
Bernoulli NB,0.765677276,0.6,0.045951176
Bernoulli NB,0.765489037,0.61,0.025299168
Bernoulli NB,0.765614761,0.62,0.016299677
Bernoulli NB,0.765306159,0.63,0.019499421
Bernoulli NB,0.765146598,0.64,0.015499735
Bernoulli NB,0.764679696,0.65,0.011299753
Bernoulli NB,0.764794199,0.66,0.020099211
Bernoulli NB,0.76489236,0.67,0.013000011
Bernoulli NB,0.764756515,0.68,0.015799618
Bernoulli NB,0.7645457,0.69,0.014499474
Bernoulli NB,0.763959713,0.7,0.01429975
Bernoulli NB,0.763736886,0.71,0.018599558
Bernoulli NB,0.763549296,0.72,0.014699388
Bernoulli NB,0.763611316,0.73,0.012999558
Bernoulli NB,0.763277292,0.74,0.01829958
Bernoulli NB,0.762643626,0.75,0.015299606
Bernoulli NB,0.762431973,0.76,0.01929965
Bernoulli NB,0.762304,0.77,0.027999043
Bernoulli NB,0.762316973,0.78,0.021099496
Bernoulli NB,0.762080792,0.79,0.01799984
Bernoulli NB,0.761730432,0.8,0.015099621
Bernoulli NB,0.761857181,0.81,0.011799693
Bernoulli NB,0.761887258,0.82,0.011499906
Bernoulli NB,0.761794398,0.83,0.015199924
Bernoulli NB,0.761524977,0.84,0.01379962
Bernoulli NB,0.761451748,0.85,0.026799464
Bernoulli NB,0.760809405,0.86,0.022199464
Bernoulli NB,0.760583457,0.87,0.016399693
Bernoulli NB,0.760050908,0.88,0.012699604
Bernoulli NB,0.759673225,0.89,0.010200834
Bernoulli NB,0.759443933,0.9,0.020703578
Bernoulli NB,0.759148796,0.91,0.015500426
Bernoulli NB,0.759065608,0.92,0.014499807
Bernoulli NB,0.758985368,0.93,0.015699768
Bernoulli NB,0.758860072,0.94,0.026699376
Bernoulli NB,0.758953421,0.95,0.044198275
Bernoulli NB,0.758678833,0.96,0.032599282
Bernoulli NB,0.758484077,0.97,0.018899775
Bernoulli NB,0.758348188,0.98,0.029698992
Bernoulli NB,0.758408301,0.99,0.023299456
Bernoulli NB,0.75813813,1,0.015599918
